Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Volume
AA,Alcoa Corporation,Basic Materials,Aluminum,USA,10.87B,13.61,"5,792,038"
ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,14.26B,16.18,"68,747"
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,12.07B,18.25,"1,705,767"
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,USA,27.37B,123.48,"415,073"
APD,"Air Products and Chemicals, Inc.",Basic Materials,Chemicals,USA,65.98B,32.69,"327,360"
AVTR,"Avantor, Inc.",Basic Materials,Specialty Chemicals,USA,22.89B,47.93,"1,757,620"
BBL,BHP Group,Basic Materials,Other Industrial Metals & Mining,Australia,156.47B,13.81,"2,203,605"
CMCSA,Comcast Corporation,Communication Services,Entertainment,USA,231.97B,16.26,"9,741,041"
DIS,The Walt Disney Company,Communication Services,Entertainment,USA,287.11B,141.86,"5,348,233"
FB,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,USA,946.85B,23.77,"9,331,339"
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,USA,1888.48B,36.66,"581,160"
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,USA,1844.47B,26.53,"867,281"
NFLX,"Netflix, Inc.",Communication Services,Entertainment,USA,249.01B,50.75,"1,893,178"
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,USA,223.82B,10.11,"15,971,410"
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,USA,1675.02B,63.84,"1,434,441"
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Internet Retail,China,356.37B,17.85,"26,730,821"
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,USA,418.53B,27.13,"2,337,984"
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,USA,200.88B,27.84,"914,007"
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,USA,256.15B,42.22,"2,925,336"
TM,Toyota Motor Corporation,Consumer Cyclical,Auto Manufacturers,Japan,322.17B,10.29,"213,496"
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,USA,1025.66B,345.46,"18,729,091"
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,USA,242.17B,47.31,"1,375,302"
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,USA,259.30B,29.76,"6,611,740"
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,USA,238.95B,28.98,"1,813,897"
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,USA,392.09B,29.76,"2,821,141"
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,USA,393.93B,50.25,"2,798,019"
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,237.77B,23.91,"9,098,941"
