Time,Open,High,Close,Low,Volume
 09:30,50.12,50.32,50.16,49.98,33863
 09:31,50.43,50.6,50.55,50.4,11373
 09:32,50.57,50.57,50.35,50.26,12113
 09:33,50.36,50.58,50.52,50.35,16140
 09:34,50.54,50.7,50.61,50.52,9802
 09:35,50.59,50.66,50.53,50.52,11148
 09:36,50.52,50.57,50.53,50.49,8623
 09:37,50.56,50.64,50.63,50.48,14158
 09:38,50.62,50.63,50.521,50.5,7250
 09:39,50.57,50.65,50.57,50.53,8907
 09:40,50.5,50.5,50.3,50.3,6927
 09:41,50.29,50.36,50.33,50.29,17829
 09:42,50.31,50.46,50.44,50.26,17414
 09:43,50.46,50.49,50.37,50.31,13073
 09:44,50.36,50.361,50.361,50.25,11576
 09:45,50.34,50.34,50.3,50.25,19651
 09:46,50.3,50.35,50.33,50.25,4962
 09:47,50.35,50.4,50.3,50.26,10678
 09:48,50.34,50.34,50.24,50.21,5960
 09:49,50.2,50.23,50.16,50.16,4432
 09:50,50.16,50.16,50.1,50.06,9883
 09:51,50.09,50.13,50.13,50.02,7365
 09:52,50.16,50.17,50.16,50.06,10823
 09:53,50.14,50.15,50.12,50.05,8140
 09:54,50.16,50.24,50.24,50.11,14200
 09:55,50.196,50.22,50.18,50.16,3067
 09:56,50.19,50.25,50.13,50.13,6023
 09:57,50.12,50.17,50.11,50.11,6213
 09:58,50.11,50.14,50.105,50.05,12892
 09:59,50.11,50.2,50.09,50.06,10588
 10:00,50.09,50.21,50.14,50.09,6433
 10:01,50.13,50.19,50.13,50.07,8069
 10:02,50.13,50.21,50.21,50.13,3765
 10:03,50.21,50.3,50.3,50.14,6678
 10:04,50.31,50.38,50.38,50.29,3145
 10:05,50.38,50.43,50.41,50.38,5820
 10:06,50.42,50.43,50.42,50.4,2608
 10:07,50.43,50.45,50.42,50.38,3367
 10:08,50.415,50.415,50.36,50.32,2837
 10:09,50.33,50.33,50.3,50.25,8451
 10:10,50.32,50.47,50.45,50.32,7363
 10:11,50.44,50.45,50.42,50.42,4672
 10:12,50.43,50.45,50.45,50.42,6016
 10:13,50.48,50.48,50.46,50.45,827
 10:14,50.4,50.42,50.41,50.37,1359
 10:15,50.38,50.38,50.33,50.33,5144
 10:16,50.325,50.36,50.32,50.28,4229
 10:17,50.32,50.4,50.4,50.3,5363
 10:18,50.4,50.43,50.42,50.4,4433
 10:19,50.39,50.39,50.36,50.35,4086
 10:20,50.38,50.4,50.39,50.36,5828
 10:21,50.39,50.4,50.34,50.33,5316
 10:22,50.33,50.36,50.335,50.31,2973
 10:23,50.35,50.36,50.36,50.35,1249
 10:24,50.32,50.32,50.23,50.23,4361
 10:25,50.25,50.25,50.21,50.21,4763
 10:26,50.19,50.25,50.25,50.19,4236
 10:27,50.26,50.26,50.25,50.22,7547
 10:28,50.26,50.26,50.15,50.145,7162
 10:29,50.12,50.12,50.09,50.07,4315
 10:30,50.08,50.13,50.13,50.07,4887
 10:31,50.09,50.09,50.06,50.06,5218
 10:32,50.1,50.17,50.17,50.03,21547
 10:33,50.19,50.19,50.18,50.16,6030
 10:34,50.23,50.24,50.18,50.16,7404
 10:35,50.19,50.26,50.22,50.19,2674
 10:36,50.19,50.24,50.24,50.18,1899
 10:37,50.24,50.26,50.25,50.19,3568
 10:38,50.26,50.26,50.18,50.18,3363
 10:39,50.17,50.19,50.19,50.15,5507
 10:40,50.19,50.19,50.17,50.16,2581
 10:41,50.16,50.24,50.24,50.15,3541
 10:42,50.25,50.25,50.23,50.22,3612
 10:43,50.21,50.21,50.18,50.18,538
 10:44,50.175,50.2,50.19,50.16,4308
 10:45,50.19,50.21,50.15,50.15,4986
 10:46,50.16,50.18,50.16,50.16,1628
 10:47,50.16,50.19,50.19,50.15,3300
 10:48,50.19,50.3,50.3,50.19,16419
 10:49,50.3,50.3,50.28,50.24,10204
 10:50,50.27,50.27,50.25,50.24,30618
 10:51,50.26,50.281,50.28,50.23,8975
 10:52,50.32,50.33,50.28,50.28,3274
 10:53,50.27,50.3,50.26,50.26,4727
 10:54,50.26,50.26,50.25,50.23,12685
 10:55,50.26,50.31,50.29,50.26,3686
 10:56,50.28,50.29,50.2,50.2,3169
 10:57,50.26,50.29,50.25,50.24,2482
 10:58,50.24,50.27,50.26,50.23,3595
 10:59,50.27,50.35,50.35,50.27,2839
 11:00,50.32,50.34,50.3,50.28,3203
