,Time,Open,High,Close,Low,Volume
0, 09:30,56.92,56.92,56.92,56.91,58143
1, 09:31,57.04,57.07,57.025,57.01,22999
2, 09:32,57.03,57.03,56.96,56.88,5663
3, 09:33,57.0,57.09,57.04,57.0,17454
4, 09:34,57.07,57.15,57.085,57.06,19445
5, 09:35,57.06,57.085,57.04,57.0,6104
6, 09:36,57.03,57.035,57.0,56.96,7045
7, 09:37,57.01,57.05,57.05,56.99,3195
8, 09:38,57.07,57.145,57.09,57.06,21574
9, 09:39,57.11,57.14,57.03,57.03,12746
10, 09:40,57.01,57.01,56.89,56.885,12534
11, 09:41,56.85,56.9,56.885,56.825,7565
12, 09:42,56.845,56.995,56.99,56.845,7114
13, 09:43,56.98,56.98,56.94,56.89,10432
14, 09:44,56.94,56.94,56.88,56.84,11026
15, 09:45,56.855,56.86,56.85,56.81,3640
16, 09:46,56.87,56.92,56.91,56.865,3081
17, 09:47,56.9,56.95,56.94,56.86,6555
18, 09:48,56.94,56.94,56.855,56.85,4937
19, 09:49,56.85,56.865,56.8,56.79,11016
20, 09:50,56.76,56.83,56.83,56.745,8544
21, 09:51,56.82,56.82,56.75,56.735,4878
22, 09:52,56.73,56.76,56.75,56.72,5729
23, 09:53,56.775,56.775,56.74,56.725,8038
24, 09:54,56.76,56.79,56.79,56.76,8493
25, 09:55,56.77,56.79,56.79,56.725,18121
26, 09:56,56.8,56.8,56.73,56.73,5380
27, 09:57,56.74,56.76,56.71,56.675,13163
28, 09:58,56.69,56.74,56.74,56.69,7767
29, 09:59,56.76,56.85,56.83,56.76,13481
30, 10:00,56.84,56.89,56.84,56.8,16801
31, 10:01,56.85,56.88,56.81,56.8,3781
32, 10:02,56.81,56.86,56.85,56.8,6362
33, 10:03,56.81,56.845,56.83,56.81,1518
34, 10:04,56.81,56.87,56.87,56.81,1851
35, 10:05,56.84,56.86,56.79,56.78,7770
36, 10:06,56.8,56.84,56.82,56.8,2407
37, 10:07,56.84,56.84,56.81,56.8,2676
38, 10:08,56.79,56.8,56.78,56.75,4605
39, 10:09,56.75,56.766,56.75,56.74,6054
40, 10:10,56.74,56.77,56.75,56.71,14869
41, 10:11,56.77,56.78,56.77,56.735,10086
42, 10:12,56.755,56.77,56.74,56.74,11182
43, 10:13,56.73,56.74,56.7,56.675,12366
44, 10:14,56.69,56.76,56.75,56.69,20429
45, 10:15,56.75,56.77,56.73,56.73,17126
46, 10:16,56.75,56.81,56.8,56.74,12839
47, 10:17,56.81,56.97,56.97,56.8,13312
48, 10:18,56.99,57.05,57.04,56.98,6303
49, 10:19,57.04,57.06,57.05,57.02,10722
50, 10:20,57.06,57.11,57.1,57.05,9166
51, 10:21,57.1,57.11,57.07,57.06,4216
52, 10:22,57.08,57.14,57.08,57.06,13329
53, 10:23,57.07,57.14,57.07,57.065,25538
54, 10:24,57.06,57.06,57.015,57.015,976
55, 10:25,57.0,57.0,56.88,56.88,3674
56, 10:26,56.86,56.93,56.93,56.86,3880
57, 10:27,56.93,56.96,56.925,56.92,4737
58, 10:28,56.92,56.92,56.87,56.87,3174
59, 10:29,56.81,56.85,56.83,56.81,7045
60, 10:30,56.835,56.835,56.8,56.8,7139
61, 10:31,56.79,56.84,56.815,56.79,4080
62, 10:32,56.78,56.79,56.79,56.76,7965
63, 10:33,56.8,56.86,56.86,56.8,49412
64, 10:34,56.84,56.85,56.83,56.8,2962
65, 10:35,56.85,56.9,56.88,56.84,3715
66, 10:36,56.88,56.91,56.91,56.85,1009
67, 10:37,56.91,56.93,56.91,56.855,9694
68, 10:38,56.91,56.95,56.92,56.91,4429
69, 10:39,56.9,56.97,56.935,56.9,9203
70, 10:40,56.935,56.97,56.97,56.9,11415
71, 10:41,56.96,56.97,56.96,56.95,3944
72, 10:42,56.97,56.98,56.935,56.935,6032
73, 10:43,56.935,56.935,56.89,56.89,1282
74, 10:44,56.89,56.89,56.87,56.86,3204
75, 10:45,56.86,56.91,56.91,56.86,4844
76, 10:46,56.9,56.91,56.9,56.89,2821
77, 10:47,56.89,56.9,56.87,56.87,5920
78, 10:48,56.89,56.92,56.89,56.89,13634
79, 10:49,56.89,56.89,56.81,56.81,4203
80, 10:50,56.82,56.83,56.81,56.81,2082
81, 10:51,56.81,56.83,56.83,56.81,5007
82, 10:52,56.83,56.85,56.84,56.83,2603
83, 10:53,56.83,56.83,56.77,56.77,12334
84, 10:54,56.755,56.77,56.77,56.75,1570
85, 10:55,56.77,56.79,56.79,56.77,2463
86, 10:56,56.815,56.815,56.78,56.76,2547
87, 10:57,56.764,56.78,56.74,56.74,4495
88, 10:58,56.75,56.78,56.78,56.75,2811
89, 10:59,56.79,56.82,56.82,56.785,5830
90, 11:00,56.81,56.81,56.76,56.76,11589
91, 11:01,56.75,56.75,56.69,56.68,3758
92, 11:02,56.7,56.72,56.71,56.69,2874
93, 11:03,56.71,56.71,56.69,56.69,1200
94, 11:04,56.69,56.725,56.71,56.69,1372
95, 11:05,56.72,56.735,56.73,56.71,5861
96, 11:06,56.72,56.735,56.7,56.7,14027
97, 11:07,56.68,56.71,56.71,56.68,1948
98, 11:08,56.71,56.74,56.74,56.7,9517
99, 11:09,56.75,56.8,56.8,56.74,7261
100, 11:10,56.8,56.81,56.75,56.75,5411
101, 11:11,56.745,56.77,56.77,56.735,2174
102, 11:12,56.79,56.83,56.81,56.78,2925
103, 11:13,56.8,56.8,56.78,56.78,7285
104, 11:14,56.76,56.76,56.74,56.74,1834
105, 11:15,56.74,56.75,56.72,56.7,7995
106, 11:16,56.72,56.78,56.78,56.72,4895
107, 11:17,56.77,56.78,56.73,56.73,7684
108, 11:18,56.72,56.74,56.74,56.72,2687
109, 11:19,56.75,56.78,56.78,56.74,6167
110, 11:20,56.785,56.82,56.8,56.78,4535
111, 11:21,56.81,56.81,56.76,56.76,3558
112, 11:22,56.78,56.83,56.83,56.78,4679
113, 11:23,56.83,56.83,56.83,56.8,6236
114, 11:24,56.81,56.84,56.84,56.81,1197
115, 11:25,56.83,56.835,56.82,56.82,1986
116, 11:26,56.82,56.84,56.84,56.82,3382
117, 11:27,56.84,56.85,56.83,56.83,4762
118, 11:28,56.82,56.83,56.83,56.81,1533
119, 11:29,56.82,56.85,56.84,56.8,4926
120, 11:30,56.83,56.84,56.83,56.815,5216
121, 11:31,56.83,56.835,56.82,56.8,1437
122, 11:32,56.82,56.82,56.74,56.74,4078
123, 11:33,56.7,56.745,56.73,56.7,9921
124, 11:34,56.74,56.82,56.81,56.74,27305
125, 11:35,56.81,56.87,56.785,56.78,42067
126, 11:36,56.785,56.785,56.77,56.77,1125
127, 11:37,56.74,56.74,56.72,56.72,4115
128, 11:38,56.7,56.73,56.72,56.68,3490
129, 11:39,56.73,56.74,56.725,56.725,783
130, 11:40,56.72,56.73,56.73,56.72,1137
131, 11:41,56.73,56.737,56.737,56.73,558
132, 11:42,56.73,56.76,56.75,56.72,4295
133, 11:43,56.75,56.79,56.79,56.75,528
134, 11:44,56.785,56.79,56.79,56.78,637
135, 11:45,56.8,56.81,56.8,56.795,2178
136, 11:46,56.79,56.8,56.77,56.75,1093
137, 11:47,56.78,56.79,56.79,56.78,363
138, 11:48,56.79,56.8,56.8,56.78,1290
139, 11:49,56.8,56.84,56.84,56.795,2876
140, 11:50,56.86,56.87,56.87,56.85,1831
141, 11:51,56.865,56.93,56.93,56.86,3094
142, 11:52,56.93,56.95,56.95,56.93,304
143, 11:53,56.96,56.965,56.96,56.95,10966
144, 11:54,56.96,56.97,56.965,56.95,4363
145, 11:55,56.96,56.96,56.92,56.92,3245
146, 11:56,56.92,56.92,56.91,56.91,1684
147, 11:57,56.92,56.925,56.925,56.91,2044
148, 11:58,56.93,56.94,56.94,56.93,1060
149, 11:59,56.95,56.97,56.96,56.95,3536
150, 12:00,56.94,56.96,56.95,56.935,669
151, 12:01,56.96,56.96,56.94,56.92,2266
152, 12:02,56.94,56.991,56.98,56.94,4172
153, 12:03,56.98,56.98,56.97,56.97,1261
154, 12:04,56.975,57.0,56.99,56.97,5496
155, 12:05,56.97,56.97,56.915,56.91,8314
156, 12:06,56.915,56.915,56.91,56.91,1242
157, 12:07,56.915,56.92,56.92,56.91,1925
158, 12:08,56.92,56.94,56.936,56.915,1830
159, 12:09,56.93,56.93,56.93,56.91,2843
160, 12:10,56.96,56.97,56.94,56.94,1863
161, 12:11,56.945,56.95,56.94,56.94,646
162, 12:12,56.94,56.96,56.96,56.94,1050
163, 12:13,56.97,56.97,56.96,56.96,1302
164, 12:14,56.96,56.965,56.95,56.95,2008
165, 12:15,56.95,56.97,56.97,56.945,1446
166, 12:16,56.97,56.97,56.97,56.97,222
167, 12:17,56.985,56.995,56.99,56.985,2787
168, 12:18,57.0,57.06,57.06,57.0,1807
169, 12:19,57.06,57.09,57.075,57.06,2951
170, 12:20,57.07,57.07,57.04,57.04,1327
171, 12:21,57.03,57.04,57.02,57.02,1946
172, 12:22,57.01,57.02,57.01,57.01,804
173, 12:23,57.015,57.04,57.03,57.015,1719
174, 12:25,57.02,57.03,57.03,57.02,1012
175, 12:26,57.035,57.06,57.05,57.035,2046
176, 12:27,57.04,57.05,57.03,57.03,2370
177, 12:28,57.03,57.03,57.03,57.02,1036
178, 12:29,57.025,57.03,57.03,57.025,779
179, 12:30,57.04,57.04,57.03,57.03,747
180, 12:31,57.02,57.02,57.01,56.995,2180
181, 12:32,57.0,57.0,56.99,56.98,1803
182, 12:33,56.99,56.99,56.99,56.985,2639
183, 12:34,56.98,57.0,56.99,56.98,3498
184, 12:35,56.97,56.98,56.98,56.97,2355
185, 12:36,56.98,56.98,56.97,56.97,701
186, 12:37,56.98,56.995,56.98,56.98,1700
187, 12:38,56.985,57.0,57.0,56.985,3997
188, 12:39,56.97,56.98,56.98,56.965,4366
189, 12:40,56.98,57.01,56.98,56.98,2073
190, 12:41,57.0,57.015,57.015,57.0,1383
191, 12:42,57.015,57.04,57.03,57.015,1612
192, 12:43,57.035,57.035,57.02,57.01,908
193, 12:44,57.025,57.03,57.02,57.02,643
194, 12:45,57.01,57.01,57.0,56.99,1535
195, 12:46,57.01,57.015,57.015,57.01,306
196, 12:47,57.04,57.06,57.05,57.04,1551
197, 12:48,57.045,57.045,57.02,57.02,484
198, 12:49,57.02,57.03,57.03,57.01,671
199, 12:50,57.02,57.035,57.01,57.01,1168
200, 12:51,57.01,57.01,56.99,56.99,1351
201, 12:52,56.98,57.01,57.005,56.98,2332
202, 12:53,57.01,57.01,56.99,56.99,408
203, 12:54,56.98,56.985,56.98,56.98,1924
204, 12:55,56.99,56.99,56.96,56.96,1056
205, 12:56,56.96,56.96,56.95,56.95,882
206, 12:57,56.94,56.945,56.94,56.94,2167
207, 12:58,56.92,56.93,56.92,56.9,2012
208, 12:59,56.9,56.9,56.9,56.88,2045
209, 13:00,56.92,56.92,56.9,56.9,848
210, 13:01,56.89,56.89,56.87,56.87,1449
211, 13:02,56.88,56.88,56.87,56.87,498
212, 13:03,56.87,56.87,56.87,56.87,628
213, 13:04,56.88,56.88,56.874,56.874,484
214, 13:05,56.89,56.9,56.9,56.89,1714
215, 13:06,56.9,56.915,56.9,56.89,1660
216, 13:07,56.9,56.91,56.91,56.89,2465
217, 13:08,56.91,56.93,56.93,56.91,1485
218, 13:09,56.96,56.96,56.96,56.96,536
219, 13:11,56.96,56.96,56.96,56.955,1405
220, 13:12,56.962,56.965,56.96,56.96,612
221, 13:13,56.93,56.93,56.93,56.93,402
222, 13:14,56.94,57.0,57.0,56.94,6952
223, 13:15,56.99,56.99,56.98,56.98,2098
224, 13:16,56.99,57.02,57.01,56.99,862
225, 13:17,57.02,57.025,57.02,57.015,1504
