Time,Open,High,Close,Low,Volume
 09:30,384.29,385.0,383.74,382.588,103505
 09:31,384.42,384.74,384.17,384.15,9399
 09:32,384.15,385.13,385.0,383.74,21706
 09:33,384.86,385.48,385.01,384.53,13390
 09:34,384.709,385.48,384.705,384.58,7017
 09:35,384.32,384.85,384.85,383.95,9985
 09:36,384.68,385.23,384.18,384.18,6644
 09:37,384.606,384.92,384.865,384.17,7205
 09:38,384.65,384.91,384.185,383.97,12983
 09:39,384.225,384.23,383.686,383.35,10729
 09:40,383.89,384.05,383.48,382.81,18628
 09:41,383.155,383.78,383.428,383.155,7404
 09:42,383.83,384.25,383.58,383.37,6633
 09:43,383.58,383.86,383.86,383.047,6690
 09:44,383.47,383.67,383.651,382.79,11129
 09:45,383.6,383.61,383.23,382.98,5257
 09:46,383.45,383.77,383.0,383.0,13171
 09:47,382.905,383.27,383.27,382.8,10240
 09:48,383.385,383.385,382.88,382.86,7391
 09:49,382.9,383.34,383.17,382.9,10518
 09:50,383.165,383.35,382.25,382.25,12657
 09:51,382.295,382.92,382.77,382.26,21236
 09:52,382.929,382.929,381.862,381.81,18160
 09:53,382.11,382.82,382.47,382.03,5570
 09:54,382.06,382.258,382.08,381.88,7615
 09:55,381.97,382.76,382.44,381.96,12050
 09:56,382.66,383.07,383.035,382.66,11606
 09:57,383.01,383.74,383.2,383.01,21910
 09:58,383.08,383.08,382.53,382.53,8934
 09:59,382.67,383.574,383.12,382.652,35247
 10:00,383.09,383.38,382.76,382.52,28465
 10:01,382.88,383.02,382.61,382.61,7523
 10:02,382.56,383.84,383.67,382.55,24773
 10:03,383.655,383.695,383.27,383.09,11956
 10:04,383.26,383.29,383.059,382.91,3982
 10:05,383.04,383.27,382.855,382.83,8392
 10:06,382.895,383.01,382.835,382.83,6167
 10:07,382.82,383.08,382.89,382.6,14860
 10:08,382.78,382.89,382.093,382.093,7031
 10:09,382.09,382.61,382.53,382.09,8483
 10:10,382.24,382.48,381.94,381.79,16943
 10:11,382.09,382.09,382.045,381.645,11040
 10:12,382.055,382.055,381.21,381.21,13952
 10:13,381.145,381.29,381.26,380.9,19839
 10:14,381.135,381.875,381.87,381.11,16832
 10:15,381.95,382.03,382.03,381.68,15298
 10:16,382.07,382.49,382.42,382.02,13291
 10:17,382.4,382.69,382.67,382.33,14945
 10:18,382.61,382.91,382.91,382.61,5577
 10:19,382.8,382.865,382.33,382.18,10201
 10:20,382.315,382.47,382.22,382.05,7439
