Time,Open,High,Close,Low,Volume
 09:30,57.21,57.24,57.24,57.21,519914
 09:31,57.33,57.34,57.23,57.19,104172
 09:32,57.21,57.33,57.33,57.2,69983
 09:33,57.332,57.41,57.4,57.31,78075
 09:34,57.405,57.53,57.43,57.405,71716
 09:35,57.43,57.43,57.33,57.3,65083
 09:36,57.325,57.335,57.325,57.295,87550
 09:37,57.33,57.5,57.48,57.33,80739
 09:38,57.49,57.54,57.51,57.475,68268
 09:39,57.505,57.62,57.59,57.47,76516
 09:40,57.58,57.59,57.555,57.49,90943
 09:41,57.55,57.575,57.52,57.5,91620
 09:42,57.53,57.565,57.56,57.49,53807
 09:43,57.57,57.61,57.6,57.56,89978
 09:44,57.6,57.65,57.63,57.55,71052
 09:45,57.62,57.66,57.615,57.565,62634
 09:46,57.615,57.75,57.735,57.61,91318
 09:47,57.73,57.78,57.735,57.721,82567
 09:48,57.73,57.73,57.62,57.62,36062
 09:49,57.63,57.685,57.65,57.62,52759
 09:50,57.64,57.64,57.53,57.53,27136
 09:51,57.54,57.595,57.58,57.53,42431
 09:52,57.575,57.6,57.56,57.56,58267
 09:53,57.555,57.56,57.515,57.49,29259
 09:54,57.52,57.55,57.54,57.5,50067
 09:55,57.54,57.59,57.555,57.53,87379
 09:56,57.56,57.62,57.62,57.56,50652
 09:57,57.62,57.655,57.625,57.612,65052
 09:58,57.62,57.635,57.61,57.58,59502
 09:59,57.615,57.68,57.65,57.615,57274
 10:00,57.65,57.69,57.68,57.61,49696
 10:01,57.67,57.695,57.605,57.6,200515
 10:02,57.605,57.66,57.63,57.565,67565
 10:03,57.64,57.67,57.65,57.62,44494
 10:04,57.648,57.65,57.615,57.615,33440
 10:05,57.62,57.63,57.6,57.58,110499
 10:06,57.605,57.62,57.605,57.59,72687
 10:07,57.6,57.62,57.585,57.57,35488
 10:08,57.585,57.595,57.55,57.55,35945
 10:09,57.54,57.61,57.605,57.53,42225
 10:10,57.6,57.62,57.61,57.59,57250
 10:11,57.6,57.625,57.603,57.565,98869
 10:12,57.6,57.62,57.585,57.58,58083
 10:13,57.585,57.593,57.56,57.56,41453
 10:14,57.57,57.58,57.54,57.53,92047
 10:15,57.535,57.54,57.535,57.5,53423
 10:16,57.532,57.535,57.5,57.49,59851
 10:17,57.5,57.53,57.511,57.5,31053
 10:18,57.515,57.54,57.49,57.49,77510
 10:19,57.489,57.505,57.5,57.471,54185
 10:20,57.5,57.515,57.47,57.46,95127
 10:21,57.47,57.505,57.495,57.46,76240
 10:22,57.495,57.515,57.45,57.44,65507
 10:23,57.455,57.48,57.48,57.45,52592
 10:24,57.48,57.5,57.46,57.45,30250
 10:25,57.45,57.469,57.4,57.4,40666
 10:26,57.41,57.41,57.385,57.375,27432
 10:27,57.39,57.425,57.42,57.38,40534
 10:28,57.42,57.42,57.405,57.4,22800
 10:29,57.405,57.415,57.41,57.36,41989
 10:30,57.42,57.445,57.43,57.405,42771
 10:31,57.43,57.49,57.46,57.43,60874
 10:32,57.45,57.46,57.44,57.435,16847
 10:33,57.44,57.485,57.465,57.44,60544
 10:34,57.47,57.49,57.49,57.47,17858
 10:35,57.487,57.505,57.495,57.48,73688
 10:36,57.49,57.5,57.45,57.45,26615
 10:37,57.45,57.49,57.47,57.445,37979
 10:38,57.48,57.51,57.485,57.465,116875
 10:39,57.49,57.495,57.475,57.46,28724
 10:40,57.46,57.465,57.44,57.43,29223
 10:41,57.445,57.47,57.465,57.44,60597
 10:42,57.469,57.5,57.5,57.465,64139
 10:43,57.495,57.5,57.465,57.46,76775
 10:44,57.465,57.5,57.5,57.455,24579
 10:45,57.5,57.5,57.5,57.47,80480
 10:46,57.495,57.54,57.465,57.46,71893
 10:47,57.465,57.48,57.477,57.445,16168
 10:48,57.47,57.495,57.49,57.455,23933
 10:49,57.5,57.525,57.52,57.495,43284
 10:50,57.53,57.533,57.53,57.52,21484
 10:51,57.525,57.526,57.495,57.475,33394
 10:52,57.495,57.505,57.49,57.49,110649
 10:53,57.495,57.5,57.5,57.48,30083
 10:54,57.5,57.505,57.495,57.48,96783
 10:55,57.495,57.505,57.5,57.49,68675
 10:56,57.49,57.505,57.495,57.463,63154
 10:57,57.5,57.505,57.48,57.47,59277
 10:58,57.48,57.55,57.55,57.47,42239
 10:59,57.54,57.549,57.54,57.525,16431
 11:00,57.535,57.535,57.49,57.49,36675
 11:01,57.495,57.51,57.48,57.48,93798
 11:02,57.48,57.5,57.46,57.46,77396
 11:03,57.469,57.485,57.48,57.46,104401
 11:04,57.48,57.5,57.483,57.48,50489
 11:05,57.48,57.5,57.495,57.48,81964
 11:06,57.49,57.52,57.52,57.49,93496
 11:07,57.53,57.565,57.565,57.51,51696
 11:08,57.565,57.57,57.56,57.545,25076
 11:09,57.565,57.585,57.57,57.56,36770
 11:10,57.56,57.56,57.535,57.525,39031
 11:11,57.53,57.55,57.55,57.525,18025
 11:12,57.555,57.585,57.58,57.555,39290
 11:13,57.57,57.595,57.575,57.56,43629
 11:14,57.58,57.59,57.57,57.57,21908
 11:15,57.57,57.606,57.6,57.565,20242
 11:16,57.61,57.61,57.56,57.56,44290
 11:17,57.56,57.58,57.55,57.535,61325
 11:18,57.545,57.555,57.55,57.54,28379
 11:19,57.54,57.57,57.555,57.54,53597
 11:20,57.55,57.55,57.53,57.53,25379
 11:21,57.54,57.57,57.54,57.52,72512
 11:22,57.53,57.565,57.555,57.525,136319
 11:23,57.55,57.58,57.56,57.55,30673
 11:24,57.555,57.59,57.58,57.55,15078
 11:25,57.58,57.586,57.508,57.495,69246
 11:26,57.51,57.54,57.5,57.495,55846
 11:27,57.5,57.52,57.51,57.49,14070
 11:28,57.51,57.52,57.5,57.495,45652
 11:29,57.5,57.5,57.48,57.48,21299
 11:30,57.485,57.49,57.485,57.48,4340
 11:31,57.485,57.49,57.48,57.48,7907
 11:32,57.485,57.5,57.435,57.43,46966
 11:33,57.44,57.46,57.43,57.425,46077
 11:34,57.425,57.465,57.456,57.425,34878
 11:35,57.45,57.456,57.425,57.42,9268
 11:36,57.425,57.445,57.438,57.42,25716
 11:37,57.44,57.445,57.44,57.43,9876
 11:38,57.43,57.457,57.453,57.43,17392
 11:39,57.46,57.499,57.499,57.455,67503
 11:40,57.49,57.5,57.495,57.49,15245
 11:41,57.495,57.51,57.495,57.47,133617
 11:42,57.49,57.49,57.47,57.455,27018
 11:43,57.465,57.49,57.475,57.46,52208
 11:44,57.475,57.485,57.47,57.45,29270
 11:45,57.47,57.47,57.42,57.42,13118
 11:46,57.415,57.42,57.388,57.385,38394
 11:47,57.39,57.42,57.39,57.39,33404
 11:48,57.4,57.43,57.42,57.385,27016
 11:49,57.415,57.44,57.42,57.41,25349
 11:50,57.424,57.45,57.45,57.42,19714
 11:51,57.45,57.46,57.445,57.43,16996
 11:52,57.44,57.44,57.42,57.41,17589
 11:53,57.43,57.465,57.46,57.43,21323
 11:54,57.46,57.49,57.465,57.46,20275
 11:55,57.47,57.47,57.44,57.44,15674
 11:56,57.442,57.46,57.45,57.44,26999
 11:57,57.44,57.44,57.4,57.392,55010
 11:58,57.405,57.42,57.42,57.405,19184
 11:59,57.43,57.45,57.44,57.42,26061
 12:00,57.44,57.45,57.41,57.41,21640
 12:01,57.415,57.425,57.42,57.405,21069
 12:02,57.42,57.42,57.39,57.385,20244
 12:03,57.395,57.4,57.39,57.375,10958
 12:04,57.39,57.41,57.4,57.39,29702
 12:05,57.405,57.42,57.385,57.375,26813
 12:06,57.39,57.405,57.4,57.38,11258
 12:07,57.405,57.42,57.41,57.4,6345
 12:08,57.41,57.435,57.425,57.41,19886
 12:09,57.43,57.446,57.44,57.42,15861
 12:10,57.445,57.45,57.425,57.41,21135
 12:11,57.42,57.44,57.435,57.4,20694
 12:12,57.43,57.45,57.445,57.43,12941
 12:13,57.446,57.446,57.425,57.42,35379
 12:14,57.43,57.43,57.4,57.4,15978
 12:15,57.4,57.425,57.425,57.4,27456
 12:16,57.42,57.435,57.435,57.42,46085
 12:17,57.435,57.445,57.445,57.41,17304
 12:18,57.45,57.47,57.465,57.45,41303
 12:19,57.465,57.47,57.45,57.45,31470
 12:20,57.455,57.46,57.42,57.42,26634
 12:21,57.42,57.465,57.465,57.42,17612
 12:22,57.46,57.46,57.44,57.43,13267
 12:23,57.435,57.44,57.4,57.4,28461
 12:24,57.405,57.42,57.415,57.395,14628
 12:25,57.42,57.42,57.4,57.4,5508
 12:26,57.405,57.41,57.405,57.394,20363
 12:27,57.405,57.426,57.415,57.405,16265
 12:28,57.415,57.426,57.418,57.41,18810
 12:29,57.42,57.44,57.435,57.42,16646
 12:30,57.435,57.438,57.405,57.405,9331
 12:31,57.405,57.41,57.4,57.38,16498
 12:32,57.4,57.4,57.37,57.37,23023
 12:33,57.375,57.38,57.365,57.365,7101
 12:34,57.37,57.37,57.34,57.33,19455
 12:35,57.34,57.35,57.33,57.32,28055
 12:36,57.33,57.34,57.33,57.32,48090
 12:37,57.34,57.375,57.35,57.33,36538
 12:38,57.34,57.35,57.34,57.325,24608
 12:39,57.34,57.37,57.37,57.33,41897
 12:40,57.375,57.39,57.35,57.35,38091
 12:41,57.35,57.36,57.33,57.325,40825
 12:42,57.33,57.34,57.335,57.33,27644
 12:43,57.335,57.34,57.34,57.32,17042
 12:44,57.335,57.34,57.335,57.325,23881
 12:45,57.335,57.34,57.31,57.31,31519
 12:46,57.315,57.33,57.32,57.31,48932
 12:47,57.325,57.345,57.345,57.32,15497
 12:48,57.345,57.345,57.34,57.33,11565
 12:49,57.345,57.36,57.32,57.32,18911
 12:50,57.325,57.345,57.32,57.32,35999
 12:51,57.32,57.325,57.325,57.31,14588
 12:52,57.32,57.36,57.355,57.32,25514
 12:53,57.355,57.37,57.365,57.35,25443
 12:54,57.37,57.37,57.37,57.36,12675
 12:55,57.36,57.36,57.34,57.34,12162
 12:56,57.345,57.35,57.31,57.31,20997
 12:57,57.315,57.315,57.275,57.27,34832
 12:58,57.277,57.3,57.295,57.27,57336
 12:59,57.29,57.29,57.28,57.27,12623
 13:00,57.28,57.29,57.26,57.25,34505
 13:01,57.26,57.262,57.25,57.24,28040
 13:02,57.245,57.255,57.25,57.24,13616
 13:03,57.256,57.27,57.26,57.25,18344
 13:04,57.265,57.305,57.305,57.26,29516
 13:05,57.305,57.335,57.325,57.305,18463
 13:06,57.325,57.33,57.321,57.32,13864
 13:07,57.325,57.362,57.35,57.32,77672
 13:08,57.36,57.38,57.375,57.34,26005
 13:09,57.375,57.39,57.38,57.37,34104
 13:10,57.38,57.4,57.365,57.36,23713
 13:11,57.36,57.37,57.34,57.34,16491
 13:12,57.345,57.367,57.355,57.34,34079
 13:13,57.351,57.36,57.355,57.35,20212
 13:14,57.355,57.38,57.38,57.355,25146
 13:15,57.38,57.385,57.37,57.36,23955
 13:16,57.375,57.39,57.388,57.375,7028
 13:17,57.385,57.39,57.38,57.38,18945
 13:18,57.385,57.39,57.365,57.36,24836
 13:19,57.361,57.37,57.36,57.35,13260
 13:20,57.36,57.36,57.35,57.34,16746
 13:21,57.35,57.38,57.375,57.35,52828
 13:22,57.375,57.395,57.38,57.37,18769
 13:23,57.385,57.385,57.38,57.365,28599
 13:24,57.375,57.405,57.39,57.37,32407
 13:25,57.4,57.42,57.405,57.39,25697
 13:26,57.41,57.425,57.415,57.405,16433
 13:27,57.41,57.415,57.41,57.4,17577
 13:28,57.415,57.43,57.415,57.41,14391
 13:29,57.41,57.41,57.405,57.39,30630
 13:30,57.4,57.405,57.395,57.39,21842
 13:31,57.396,57.42,57.415,57.395,41686
 13:32,57.42,57.44,57.42,57.41,51439
 13:33,57.42,57.45,57.44,57.42,23670
 13:34,57.443,57.445,57.43,57.42,32259
 13:35,57.435,57.46,57.45,57.43,79816
 13:36,57.46,57.47,57.465,57.455,11793
 13:37,57.46,57.47,57.46,57.45,43163
 13:38,57.46,57.47,57.463,57.455,20679
 13:39,57.465,57.5,57.485,57.46,33182
 13:40,57.49,57.52,57.505,57.48,126851
 13:41,57.5,57.505,57.465,57.455,26701
 13:42,57.47,57.48,57.44,57.44,31566
 13:43,57.445,57.45,57.43,57.43,15244
 13:44,57.43,57.455,57.435,57.425,23225
 13:45,57.435,57.438,57.42,57.42,11099
 13:46,57.425,57.44,57.43,57.415,21288
 13:47,57.43,57.46,57.457,57.43,36053
 13:48,57.455,57.48,57.465,57.455,25416
 13:49,57.465,57.48,57.465,57.461,12902
 13:50,57.465,57.47,57.465,57.46,9568
 13:51,57.468,57.475,57.455,57.45,26263
 13:52,57.46,57.46,57.455,57.445,22560
 13:53,57.455,57.483,57.483,57.455,26579
 13:54,57.48,57.5,57.495,57.475,30819
 13:55,57.495,57.5,57.5,57.485,126215
 13:56,57.495,57.495,57.469,57.46,20106
 13:57,57.46,57.47,57.44,57.44,27484
 13:58,57.445,57.47,57.465,57.44,12182
 13:59,57.47,57.47,57.46,57.455,11492
 14:00,57.47,57.47,57.46,57.44,59961
 14:01,57.46,57.475,57.475,57.44,39462
 14:02,57.48,57.5,57.495,57.475,32610
 14:03,57.49,57.5,57.485,57.48,42667
 14:04,57.485,57.49,57.48,57.47,12866
 14:05,57.48,57.48,57.46,57.46,25036
 14:06,57.47,57.485,57.475,57.455,27069
 14:07,57.48,57.48,57.475,57.461,13128
 14:08,57.475,57.5,57.485,57.475,51058
 14:09,57.485,57.5,57.497,57.485,23874
 14:10,57.49,57.495,57.46,57.45,54129
 14:11,57.455,57.46,57.445,57.44,13062
 14:12,57.445,57.47,57.46,57.44,26284
 14:13,57.463,57.47,57.455,57.45,24920
 14:14,57.46,57.48,57.46,57.455,33497
 14:15,57.46,57.48,57.472,57.455,19701
 14:16,57.474,57.5,57.48,57.474,49962
 14:17,57.48,57.48,57.475,57.47,7073
 14:18,57.47,57.495,57.49,57.47,26053
 14:19,57.495,57.5,57.495,57.485,15451
 14:20,57.495,57.5,57.469,57.463,47483
 14:21,57.465,57.5,57.49,57.465,34986
 14:22,57.495,57.495,57.46,57.46,11676
 14:23,57.47,57.48,57.47,57.47,8424
 14:24,57.47,57.48,57.47,57.455,25711
 14:25,57.47,57.47,57.465,57.46,43865
 14:26,57.46,57.46,57.415,57.41,44160
 14:27,57.42,57.45,57.44,57.405,42156
 14:28,57.44,57.445,57.43,57.43,23418
 14:29,57.43,57.47,57.46,57.43,15193
 14:30,57.466,57.47,57.425,57.42,42210
 14:31,57.43,57.43,57.396,57.39,21025
 14:32,57.4,57.4,57.39,57.385,17779
 14:33,57.39,57.42,57.42,57.39,34025
 14:34,57.42,57.435,57.425,57.415,17870
 14:35,57.425,57.43,57.425,57.415,11451
 14:36,57.425,57.425,57.418,57.41,13225
 14:37,57.413,57.43,57.425,57.405,35378
 14:38,57.42,57.42,57.415,57.41,21008
 14:39,57.415,57.42,57.405,57.4,13732
 14:40,57.405,57.42,57.415,57.4,50716
 14:41,57.415,57.425,57.417,57.41,31802
 14:42,57.41,57.41,57.407,57.4,20293
 14:43,57.4,57.41,57.395,57.39,38646
 14:44,57.4,57.41,57.405,57.4,22718
 14:45,57.405,57.405,57.395,57.39,21406
 14:46,57.4,57.4,57.396,57.39,5157
 14:47,57.39,57.39,57.37,57.37,19991
 14:48,57.378,57.39,57.385,57.37,33627
 14:49,57.385,57.39,57.385,57.375,12495
 14:50,57.385,57.415,57.415,57.385,42179
