,Time,Open,High,Close,Low,Volume
0, 09:30,75.78,75.81,75.81,75.76,282986
1, 09:31,75.79,75.83,75.69,75.65,40077
2, 09:32,75.69,75.76,75.728,75.6,42416
3, 09:33,75.765,75.87,75.82,75.71,45993
4, 09:34,75.78,75.97,75.89,75.78,64657
5, 09:35,75.89,76.02,75.99,75.84,44727
6, 09:36,75.96,75.99,75.899,75.87,33089
7, 09:37,75.89,76.09,76.06,75.82,56128
8, 09:38,76.08,76.25,76.225,76.08,133892
9, 09:39,76.24,76.35,76.231,76.2,97083
10, 09:40,76.21,76.28,75.99,75.95,109629
11, 09:41,75.98,76.07,75.765,75.75,65384
12, 09:42,75.76,75.86,75.86,75.65,40534
13, 09:43,75.85,75.91,75.68,75.66,34417
14, 09:44,75.685,75.69,75.67,75.55,84839
15, 09:45,75.66,75.79,75.76,75.54,30978
16, 09:46,75.78,75.87,75.77,75.76,22119
17, 09:47,75.76,75.78,75.69,75.69,27075
18, 09:48,75.69,75.69,75.52,75.51,28358
19, 09:49,75.54,75.54,75.445,75.38,36094
20, 09:50,75.45,75.47,75.37,75.35,28146
21, 09:51,75.37,75.44,75.37,75.33,17971
22, 09:52,75.37,75.4,75.37,75.3,20645
23, 09:53,75.38,75.38,75.27,75.25,25476
24, 09:54,75.29,75.31,75.27,75.2,29275
25, 09:55,75.25,75.31,75.28,75.24,19133
26, 09:56,75.285,75.35,75.345,75.213,28553
27, 09:57,75.35,75.46,75.42,75.34,47964
28, 09:58,75.42,75.46,75.32,75.28,26242
29, 09:59,75.33,75.42,75.37,75.33,23963
30, 10:00,75.37,75.415,75.344,75.31,35517
31, 10:01,75.35,75.39,75.34,75.31,37553
32, 10:02,75.33,75.35,75.3,75.25,45022
33, 10:03,75.3,75.345,75.26,75.25,22277
34, 10:04,75.26,75.287,75.28,75.222,21169
35, 10:05,75.27,75.28,75.2,75.17,19814
36, 10:06,75.21,75.29,75.27,75.2,22254
37, 10:07,75.265,75.265,75.12,75.11,11096
38, 10:08,75.12,75.145,75.09,75.09,38919
39, 10:09,75.09,75.15,75.102,75.08,36276
40, 10:10,75.1,75.18,75.11,75.1,25874
41, 10:11,75.09,75.14,75.1,75.055,41844
42, 10:12,75.115,75.13,75.12,74.99,66640
43, 10:13,75.14,75.14,75.06,75.0,34597
44, 10:14,75.045,75.08,75.03,74.96,27283
45, 10:15,75.02,75.06,75.041,74.95,19579
46, 10:16,75.05,75.1,75.09,75.04,47122
47, 10:17,75.08,75.16,75.16,75.07,30734
