,Time,Open,High,Close,Low,Volume
0, 09:30,85.48,85.52,85.52,85.42,60801
1, 09:31,85.58,85.6,85.52,85.52,22937
2, 09:32,85.52,85.55,85.49,85.471,9420
3, 09:33,85.53,85.54,85.53,85.48,11420
4, 09:34,85.53,85.58,85.58,85.53,5046
5, 09:35,85.57,85.63,85.58,85.555,15609
6, 09:36,85.56,85.58,85.54,85.52,13569
7, 09:37,85.535,85.57,85.57,85.53,12237
8, 09:38,85.6,85.64,85.64,85.6,4093
9, 09:39,85.63,85.63,85.58,85.55,12069
10, 09:40,85.58,85.58,85.4,85.4,13823
11, 09:41,85.39,85.4,85.31,85.305,10268
12, 09:42,85.28,85.37,85.37,85.28,10770
13, 09:43,85.38,85.38,85.36,85.34,9489
14, 09:44,85.35,85.365,85.36,85.33,7488
15, 09:45,85.365,85.38,85.38,85.31,7326
16, 09:46,85.37,85.47,85.46,85.37,9775
17, 09:47,85.47,85.47,85.43,85.41,9410
18, 09:48,85.43,85.438,85.255,85.25,34617
19, 09:49,85.26,85.27,85.25,85.22,13314
20, 09:50,85.25,85.27,85.245,85.24,18399
21, 09:51,85.25,85.28,85.25,85.24,24800
22, 09:52,85.23,85.24,85.21,85.21,8849
23, 09:53,85.2,85.25,85.25,85.2,11320
24, 09:54,85.25,85.29,85.28,85.235,17051
25, 09:55,85.285,85.31,85.29,85.27,39650
26, 09:56,85.28,85.29,85.27,85.245,25652
27, 09:57,85.28,85.33,85.29,85.26,14262
28, 09:58,85.29,85.3,85.255,85.25,14187
29, 09:59,85.26,85.33,85.31,85.25,34821
30, 10:00,85.33,85.35,85.29,85.28,14272
31, 10:01,85.29,85.29,85.25,85.2,15719
32, 10:02,85.25,85.34,85.318,85.25,19859
33, 10:03,85.31,85.33,85.33,85.27,11757
34, 10:04,85.335,85.42,85.42,85.33,21224
35, 10:05,85.43,85.45,85.445,85.36,29390
36, 10:06,85.445,85.505,85.5,85.445,17352
37, 10:07,85.495,85.495,85.42,85.42,9625
38, 10:08,85.41,85.41,85.335,85.335,6770
39, 10:09,85.33,85.33,85.305,85.3,10730
40, 10:10,85.3,85.34,85.32,85.29,10159
41, 10:11,85.325,85.37,85.361,85.325,5544
42, 10:12,85.36,85.38,85.372,85.355,3302
43, 10:13,85.38,85.39,85.295,85.295,44504
44, 10:14,85.3,85.32,85.27,85.27,9925
45, 10:15,85.265,85.265,85.2,85.16,15324
46, 10:16,85.202,85.24,85.225,85.2,15479
47, 10:17,85.24,85.32,85.32,85.23,6149
48, 10:18,85.32,85.34,85.31,85.3,12860
49, 10:19,85.305,85.31,85.24,85.24,12284
50, 10:20,85.25,85.3,85.261,85.245,10819
51, 10:21,85.26,85.27,85.25,85.24,2865
52, 10:22,85.27,85.29,85.24,85.24,7388
53, 10:23,85.23,85.28,85.28,85.23,7729
54, 10:24,85.29,85.31,85.28,85.28,3515
55, 10:25,85.28,85.285,85.25,85.23,4425
56, 10:26,85.26,85.35,85.35,85.26,6307
57, 10:27,85.38,85.395,85.395,85.375,10155
58, 10:28,85.4,85.4,85.39,85.385,3844
59, 10:29,85.38,85.395,85.38,85.36,5570
60, 10:30,85.385,85.475,85.46,85.38,14121
61, 10:31,85.47,85.48,85.48,85.465,2678
62, 10:32,85.47,85.47,85.41,85.39,3137
63, 10:33,85.42,85.44,85.43,85.42,3127
64, 10:34,85.425,85.45,85.39,85.39,5760
65, 10:35,85.37,85.37,85.32,85.31,2274
66, 10:36,85.31,85.315,85.31,85.29,10789
67, 10:37,85.3,85.31,85.27,85.27,6739
68, 10:38,85.26,85.275,85.25,85.25,7862
69, 10:39,85.225,85.3,85.3,85.225,5196
70, 10:40,85.305,85.305,85.29,85.28,3701
71, 10:41,85.29,85.305,85.292,85.29,1668
72, 10:42,85.31,85.32,85.315,85.31,1980
73, 10:43,85.32,85.32,85.28,85.28,6305
74, 10:44,85.28,85.28,85.23,85.22,9642
75, 10:45,85.233,85.32,85.3,85.23,29424
76, 10:46,85.31,85.33,85.29,85.29,6422
77, 10:47,85.29,85.296,85.29,85.29,3602
78, 10:48,85.29,85.3,85.3,85.28,3040
79, 10:49,85.295,85.31,85.26,85.26,8216
80, 10:50,85.26,85.26,85.24,85.22,4818
81, 10:51,85.22,85.24,85.24,85.21,3282
82, 10:52,85.24,85.24,85.21,85.2,6741
83, 10:53,85.21,85.21,85.16,85.16,20509
84, 10:54,85.17,85.2,85.2,85.17,6047
85, 10:55,85.2,85.255,85.24,85.2,13668
86, 10:56,85.23,85.236,85.215,85.21,3028
87, 10:57,85.211,85.221,85.22,85.19,11834
88, 10:58,85.22,85.24,85.211,85.21,4988
89, 10:59,85.2,85.2,85.181,85.18,21504
90, 11:00,85.18,85.185,85.17,85.155,4147
91, 11:01,85.16,85.175,85.16,85.15,11525
92, 11:02,85.15,85.19,85.18,85.13,24083
93, 11:03,85.19,85.225,85.22,85.18,4926
94, 11:04,85.23,85.245,85.22,85.22,4880
95, 11:05,85.21,85.33,85.3,85.21,16355
96, 11:06,85.3,85.35,85.34,85.3,6846
97, 11:07,85.332,85.405,85.4,85.332,5084
98, 11:08,85.406,85.44,85.41,85.405,16909
99, 11:09,85.41,85.41,85.395,85.38,10926
100, 11:10,85.38,85.4,85.35,85.35,3023
101, 11:11,85.345,85.4,85.39,85.34,5257
102, 11:12,85.39,85.45,85.45,85.385,3787
103, 11:13,85.44,85.44,85.36,85.36,7881
104, 11:14,85.38,85.4,85.39,85.38,6580
105, 11:15,85.4,85.4,85.39,85.375,5184
106, 11:16,85.41,85.48,85.48,85.4,2732
107, 11:17,85.48,85.49,85.46,85.46,7829
108, 11:18,85.45,85.49,85.48,85.45,2022
109, 11:19,85.48,85.49,85.485,85.445,3593
110, 11:20,85.51,85.55,85.55,85.5,3410
111, 11:21,85.545,85.56,85.555,85.545,1937
112, 11:22,85.545,85.59,85.59,85.54,3067
113, 11:23,85.59,85.595,85.59,85.585,8477
114, 11:24,85.59,85.605,85.59,85.59,3020
115, 11:25,85.571,85.58,85.53,85.527,5413
116, 11:26,85.54,85.547,85.545,85.53,8558
117, 11:27,85.55,85.55,85.54,85.485,12872
118, 11:28,85.55,85.56,85.46,85.46,9041
119, 11:29,85.47,85.55,85.48,85.42,66102
120, 11:30,85.48,85.48,85.45,85.45,3467
121, 11:31,85.43,85.45,85.42,85.411,9388
122, 11:32,85.43,85.44,85.39,85.39,2018
123, 11:33,85.39,85.4,85.39,85.39,29509
124, 11:34,85.4,85.43,85.43,85.4,1904
125, 11:35,85.42,85.42,85.37,85.37,2177
126, 11:36,85.365,85.37,85.35,85.35,935
127, 11:37,85.35,85.39,85.39,85.35,1703
128, 11:38,85.36,85.36,85.36,85.35,885
129, 11:39,85.34,85.34,85.3,85.29,1963
130, 11:40,85.31,85.31,85.285,85.28,1307
131, 11:41,85.27,85.27,85.25,85.25,627
132, 11:42,85.27,85.275,85.253,85.25,1283
133, 11:43,85.27,85.28,85.27,85.27,2807
134, 11:44,85.28,85.315,85.315,85.28,17059
135, 11:45,85.32,85.325,85.32,85.295,6171
136, 11:46,85.33,85.34,85.295,85.295,3335
137, 11:47,85.31,85.32,85.31,85.31,1024
138, 11:48,85.31,85.32,85.32,85.3,2182
139, 11:49,85.35,85.35,85.337,85.33,1672
140, 11:50,85.324,85.4,85.4,85.321,5233
141, 11:51,85.41,85.463,85.463,85.41,3462
142, 11:52,85.45,85.469,85.46,85.45,1814
143, 11:53,85.46,85.47,85.465,85.457,1959
144, 11:54,85.49,85.495,85.49,85.49,1544
145, 11:55,85.48,85.49,85.46,85.46,1138
146, 11:56,85.45,85.455,85.44,85.44,5590
147, 11:57,85.43,85.43,85.41,85.41,1092
148, 11:58,85.4,85.44,85.44,85.4,907
149, 11:59,85.439,85.45,85.44,85.439,1425
150, 12:00,85.44,85.455,85.43,85.43,3566
151, 12:01,85.438,85.44,85.43,85.41,2851
152, 12:02,85.429,85.45,85.43,85.429,2983
153, 12:03,85.43,85.43,85.42,85.42,1102
154, 12:04,85.41,85.415,85.41,85.39,4627
155, 12:05,85.41,85.41,85.39,85.39,1139
156, 12:06,85.395,85.4,85.4,85.395,697
157, 12:07,85.4,85.404,85.404,85.4,630
158, 12:08,85.41,85.42,85.405,85.405,896
159, 12:09,85.41,85.414,85.414,85.41,465
160, 12:10,85.445,85.445,85.43,85.43,1438
161, 12:11,85.437,85.437,85.425,85.425,382
162, 12:12,85.44,85.45,85.443,85.44,1421
163, 12:14,85.43,85.45,85.45,85.42,2376
164, 12:15,85.449,85.47,85.47,85.449,1866
165, 12:16,85.48,85.5,85.495,85.47,3208
166, 12:17,85.49,85.52,85.475,85.47,4741
167, 12:18,85.48,85.53,85.53,85.48,4599
168, 12:19,85.555,85.56,85.56,85.555,658
169, 12:20,85.56,85.59,85.58,85.56,2032
170, 12:21,85.59,85.59,85.56,85.555,2714
171, 12:22,85.53,85.53,85.51,85.51,682
172, 12:23,85.51,85.51,85.507,85.49,2606
173, 12:24,85.49,85.49,85.49,85.49,258
174, 12:25,85.5,85.5,85.495,85.495,1696
175, 12:26,85.48,85.49,85.49,85.47,5702
176, 12:27,85.5,85.52,85.49,85.48,2437
177, 12:28,85.499,85.499,85.495,85.495,1749
178, 12:29,85.495,85.51,85.51,85.495,1464
179, 12:30,85.515,85.515,85.48,85.48,5068
180, 12:31,85.47,85.47,85.435,85.435,3256
181, 12:32,85.41,85.419,85.395,85.395,2118
182, 12:33,85.4,85.4,85.392,85.39,1448
183, 12:34,85.39,85.39,85.37,85.37,2971
184, 12:35,85.38,85.395,85.39,85.38,15061
185, 12:36,85.38,85.38,85.355,85.35,4471
186, 12:37,85.36,85.36,85.341,85.341,6000
187, 12:38,85.345,85.41,85.41,85.345,2043
188, 12:39,85.415,85.43,85.43,85.41,1250
189, 12:40,85.46,85.46,85.455,85.45,1434
190, 12:41,85.46,85.47,85.46,85.45,1651
191, 12:42,85.46,85.47,85.455,85.455,1665
192, 12:44,85.465,85.485,85.475,85.464,2898
193, 12:45,85.475,85.475,85.475,85.47,685
194, 12:46,85.48,85.5,85.49,85.48,2425
195, 12:47,85.48,85.48,85.465,85.465,1368
196, 12:48,85.46,85.46,85.46,85.46,1417
197, 12:49,85.45,85.461,85.46,85.45,1318
198, 12:50,85.461,85.48,85.48,85.461,773
199, 12:51,85.48,85.495,85.495,85.48,609
200, 12:52,85.5,85.525,85.525,85.49,3219
201, 12:53,85.53,85.53,85.53,85.52,1095
202, 12:54,85.515,85.515,85.515,85.515,123
203, 12:55,85.51,85.51,85.5,85.48,7124
204, 12:56,85.508,85.508,85.49,85.48,2174
205, 12:57,85.49,85.49,85.47,85.47,2436
206, 12:58,85.47,85.47,85.43,85.43,2890
207, 12:59,85.42,85.425,85.425,85.415,1271
208, 13:00,85.43,85.445,85.443,85.43,2593
209, 13:01,85.445,85.455,85.445,85.44,2626
210, 13:02,85.44,85.45,85.445,85.43,4283
211, 13:03,85.45,85.455,85.45,85.45,1821
212, 13:04,85.44,85.445,85.44,85.438,2760
213, 13:05,85.45,85.5,85.5,85.45,2790
214, 13:06,85.5,85.5,85.47,85.47,1667
215, 13:07,85.47,85.49,85.49,85.46,3650
216, 13:08,85.485,85.49,85.49,85.48,573
217, 13:09,85.48,85.49,85.49,85.47,6654
218, 13:10,85.5,85.501,85.494,85.494,1451
219, 13:11,85.49,85.49,85.46,85.46,1090
220, 13:12,85.47,85.47,85.429,85.429,7740
221, 13:13,85.43,85.46,85.455,85.42,3800
222, 13:14,85.454,85.49,85.49,85.454,9921
223, 13:15,85.49,85.49,85.47,85.46,2445
224, 13:16,85.45,85.45,85.445,85.44,2352
225, 13:17,85.44,85.44,85.435,85.435,932
226, 13:18,85.44,85.45,85.45,85.435,1361
227, 13:19,85.44,85.445,85.441,85.44,1037
228, 13:20,85.455,85.46,85.46,85.455,554
229, 13:21,85.46,85.48,85.48,85.46,771
230, 13:22,85.48,85.49,85.48,85.451,5487
231, 13:23,85.48,85.48,85.41,85.4,24855
232, 13:24,85.41,85.42,85.37,85.36,16049
233, 13:25,85.37,85.38,85.38,85.36,1415
234, 13:26,85.39,85.39,85.38,85.38,3376
235, 13:27,85.37,85.38,85.38,85.365,1812
236, 13:28,85.383,85.4,85.38,85.38,4238
237, 13:29,85.37,85.385,85.38,85.37,1410
238, 13:30,85.375,85.41,85.41,85.373,10198
239, 13:31,85.405,85.43,85.385,85.381,3001
240, 13:32,85.38,85.43,85.43,85.38,4854
241, 13:33,85.43,85.433,85.39,85.39,5060
242, 13:34,85.38,85.38,85.35,85.345,2847
243, 13:35,85.36,85.405,85.395,85.36,5146
244, 13:36,85.4,85.405,85.38,85.38,5484
245, 13:37,85.38,85.39,85.38,85.38,705
246, 13:38,85.38,85.4,85.4,85.38,3481
247, 13:39,85.41,85.45,85.45,85.41,2126
248, 13:40,85.47,85.54,85.54,85.47,4432
249, 13:41,85.53,85.53,85.525,85.495,4402
250, 13:42,85.53,85.545,85.528,85.52,2795
251, 13:43,85.51,85.52,85.51,85.485,9688
252, 13:44,85.51,85.51,85.51,85.51,1381
253, 13:45,85.505,85.51,85.485,85.485,2695
254, 13:46,85.48,85.48,85.48,85.48,451
255, 13:47,85.48,85.51,85.475,85.475,4099
256, 13:48,85.47,85.48,85.48,85.47,1433
257, 13:49,85.49,85.5,85.5,85.49,780
258, 13:50,85.491,85.5,85.465,85.465,3696
259, 13:51,85.46,85.46,85.425,85.42,3546
260, 13:52,85.43,85.44,85.435,85.43,2065
261, 13:53,85.44,85.44,85.44,85.435,1243
262, 13:54,85.44,85.475,85.47,85.44,2941
263, 13:55,85.48,85.503,85.49,85.476,6475
264, 13:56,85.49,85.49,85.47,85.47,2809
265, 13:57,85.47,85.486,85.473,85.47,2396
266, 13:58,85.48,85.49,85.49,85.48,813
267, 13:59,85.48,85.49,85.49,85.48,616
268, 14:00,85.48,85.5,85.5,85.46,7018
269, 14:01,85.5,85.52,85.51,85.49,13314
270, 14:02,85.526,85.526,85.515,85.515,897
271, 14:03,85.52,85.53,85.51,85.51,2439
272, 14:04,85.51,85.51,85.5,85.49,3828
273, 14:05,85.5,85.52,85.52,85.5,1923
274, 14:07,85.516,85.516,85.49,85.46,5762
275, 14:08,85.49,85.51,85.5,85.49,2820
276, 14:09,85.5,85.5,85.485,85.485,1302
277, 14:10,85.49,85.5,85.5,85.47,4636
278, 14:11,85.49,85.49,85.48,85.47,771
279, 14:12,85.495,85.51,85.51,85.495,1431
280, 14:13,85.51,85.52,85.515,85.51,1187
281, 14:14,85.52,85.56,85.56,85.52,6866
282, 14:15,85.57,85.59,85.59,85.56,4105
283, 14:16,85.59,85.615,85.615,85.59,11062
284, 14:17,85.62,85.64,85.64,85.59,7487
285, 14:18,85.631,85.67,85.665,85.625,9766
286, 14:19,85.665,85.689,85.685,85.665,4553
287, 14:20,85.685,85.685,85.68,85.67,8742
288, 14:21,85.685,85.685,85.6,85.58,12414
289, 14:22,85.6,85.62,85.61,85.6,7305
290, 14:23,85.64,85.65,85.63,85.63,1384
291, 14:24,85.615,85.62,85.61,85.61,1711
292, 14:25,85.59,85.613,85.6,85.585,21961
293, 14:26,85.61,85.61,85.56,85.56,6440
294, 14:27,85.54,85.59,85.58,85.54,5000
295, 14:28,85.6,85.6,85.56,85.56,6664
296, 14:29,85.58,85.59,85.585,85.574,8622
297, 14:30,85.59,85.59,85.54,85.54,8574
298, 14:31,85.529,85.53,85.51,85.47,6753
299, 14:32,85.52,85.53,85.52,85.51,4106
300, 14:33,85.52,85.52,85.5,85.5,8830
301, 14:34,85.495,85.505,85.49,85.49,6091
302, 14:35,85.505,85.505,85.5,85.49,6547
303, 14:36,85.5,85.505,85.46,85.42,13816
304, 14:37,85.47,85.5,85.47,85.47,8557
305, 14:38,85.47,85.485,85.465,85.46,3639
306, 14:39,85.47,85.47,85.465,85.42,17517
307, 14:40,85.47,85.48,85.44,85.44,7543
308, 14:41,85.45,85.51,85.5,85.45,3612
309, 14:42,85.5,85.507,85.5,85.48,4390
310, 14:43,85.5,85.51,85.495,85.49,7308
311, 14:44,85.5,85.51,85.51,85.5,2641
312, 14:45,85.51,85.525,85.52,85.51,1532
313, 14:46,85.53,85.53,85.52,85.52,489
314, 14:47,85.53,85.54,85.51,85.51,9375
315, 14:48,85.51,85.525,85.52,85.5,5971
316, 14:49,85.525,85.535,85.535,85.51,3390
317, 14:50,85.54,85.542,85.54,85.54,2096
