Time,Open,High,Close,Low,Volume
 09:30,47.06,47.1,47.0,46.98,150957
 09:31,46.775,46.94,46.88,46.76,520591
 09:32,46.866,46.89,46.79,46.62,119174
 09:33,46.79,47.033,46.935,46.78,194567
 09:34,46.94,47.005,46.9,46.89,122011
 09:35,46.89,46.94,46.93,46.77,99573
 09:36,46.94,47.08,47.06,46.9,92529
 09:37,47.07,47.16,47.11,46.99,162352
 09:38,47.12,47.16,46.99,46.93,139017
 09:39,46.98,46.98,46.89,46.84,73127
 09:40,46.89,46.9,46.865,46.75,186231
 09:41,46.86,46.97,46.82,46.81,104944
 09:42,46.8,46.86,46.71,46.675,163894
 09:43,46.71,46.72,46.67,46.59,88978
 09:44,46.67,46.71,46.705,46.613,59430
 09:45,46.705,46.75,46.73,46.61,104072
 09:46,46.735,46.81,46.75,46.735,78318
 09:47,46.76,46.79,46.705,46.69,75471
 09:48,46.71,46.765,46.685,46.67,71271
 09:49,46.68,46.685,46.604,46.59,61410
 09:50,46.605,46.605,46.575,46.55,90450
 09:51,46.575,46.64,46.58,46.57,75436
 09:52,46.579,46.6,46.53,46.52,74875
 09:53,46.54,46.54,46.475,46.453,127698
 09:54,46.479,46.55,46.49,46.445,75288
 09:55,46.48,46.685,46.65,46.48,113819
 09:56,46.66,46.78,46.78,46.635,160956
 09:57,46.77,46.885,46.756,46.75,107516
 09:58,46.75,46.75,46.7,46.67,43181
 09:59,46.7,46.84,46.84,46.695,87291
 10:00,46.84,46.85,46.76,46.715,74232
 10:01,46.76,46.84,46.8,46.74,62467
 10:02,46.79,46.94,46.92,46.775,80565
 10:03,46.92,46.99,46.92,46.9,50127
 10:04,46.92,46.92,46.87,46.845,61886
 10:05,46.86,46.91,46.9,46.854,51137
 10:06,46.9,47.005,46.98,46.9,64072
 10:07,46.97,47.005,46.96,46.955,29442
 10:08,46.96,46.985,46.91,46.89,77393
 10:09,46.9,46.96,46.93,46.87,79307
 10:10,46.93,46.93,46.87,46.85,92072
 10:11,46.87,46.95,46.925,46.83,138939
 10:12,46.92,46.995,46.91,46.895,53966
 10:13,46.92,46.95,46.94,46.87,53140
 10:14,46.94,46.995,46.95,46.92,51626
 10:15,46.945,46.99,46.936,46.915,50546
 10:16,46.935,46.99,46.98,46.909,50629
 10:17,46.99,47.085,47.08,46.98,55995
 10:18,47.075,47.17,47.08,47.07,69632
 10:19,47.09,47.115,47.06,47.005,68112
 10:20,47.06,47.12,47.065,47.03,54439
 10:21,47.065,47.07,46.995,46.96,53922
 10:22,46.995,47.025,46.95,46.945,51218
 10:23,46.95,46.95,46.875,46.87,71735
 10:24,46.88,46.9,46.85,46.845,51639
 10:25,46.85,46.85,46.795,46.78,35955
 10:26,46.798,46.825,46.82,46.77,58668
 10:27,46.82,46.865,46.84,46.8,62665
 10:28,46.84,46.84,46.79,46.78,37684
 10:29,46.79,46.795,46.767,46.74,58494
 10:30,46.765,46.765,46.696,46.69,48723
 10:31,46.695,46.735,46.66,46.66,64945
 10:32,46.65,46.69,46.69,46.62,55072
 10:33,46.7,46.73,46.61,46.61,64818
 10:34,46.62,46.63,46.615,46.564,65655
 10:35,46.615,46.625,46.58,46.58,51916
 10:36,46.599,46.64,46.61,46.555,53445
 10:37,46.6,46.635,46.605,46.57,47628
 10:38,46.62,46.62,46.49,46.48,162535
 10:39,46.49,46.535,46.53,46.47,111044
 10:40,46.53,46.55,46.55,46.495,52668
 10:41,46.55,46.57,46.54,46.52,39531
 10:42,46.535,46.56,46.52,46.505,36283
 10:43,46.53,46.53,46.485,46.47,74276
 10:44,46.486,46.505,46.48,46.47,39613
 10:45,46.485,46.51,46.49,46.47,40752
 10:46,46.49,46.51,46.46,46.46,39907
 10:47,46.47,46.48,46.455,46.45,44821
 10:48,46.45,46.46,46.43,46.424,66654
 10:49,46.435,46.475,46.47,46.43,56487
 10:50,46.48,46.5,46.49,46.44,41715
 10:51,46.49,46.515,46.51,46.48,68955
 10:52,46.515,46.54,46.52,46.5,29253
 10:53,46.52,46.52,46.515,46.48,40450
 10:54,46.515,46.555,46.49,46.49,38898
 10:55,46.49,46.52,46.475,46.435,74676
 10:56,46.48,46.5,46.49,46.46,29129
 10:57,46.496,46.496,46.45,46.43,98055
 10:58,46.44,46.48,46.475,46.44,36021
 10:59,46.475,46.538,46.53,46.475,58623
 11:00,46.52,46.53,46.5,46.49,39686
 11:01,46.5,46.53,46.44,46.44,30116
 11:02,46.433,46.47,46.46,46.433,86190
 11:03,46.46,46.465,46.425,46.41,38179
 11:04,46.425,46.44,46.438,46.4,39928
 11:05,46.43,46.445,46.42,46.415,30525
 11:06,46.42,46.455,46.42,46.41,18111
 11:07,46.415,46.43,46.42,46.41,25152
 11:08,46.415,46.46,46.43,46.41,45808
 11:09,46.435,46.486,46.47,46.427,29712
 11:10,46.47,46.49,46.45,46.445,26304
 11:11,46.44,46.447,46.425,46.41,25364
 11:12,46.42,46.485,46.46,46.415,89791
 11:13,46.47,46.47,46.415,46.41,47397
 11:14,46.415,46.426,46.36,46.36,66336
