Time,Open,High,Close,Low,Volume
 09:30,43.175,43.175,43.16,43.156,1265780
 09:31,42.98,43.06,43.045,42.91,813365
 09:32,43.06,43.08,42.92,42.88,217375
 09:33,42.92,43.06,43.01,42.92,244200
 09:34,43.005,43.005,42.945,42.91,186651
 09:35,42.94,42.96,42.955,42.815,425260
 09:36,42.96,43.04,43.034,42.899,172327
 09:37,43.031,43.13,43.125,43.0,262196
 09:38,43.13,43.16,43.07,43.03,241047
 09:39,43.07,43.11,43.027,43.0,213645
 09:40,43.03,43.03,43.0,42.93,265554
 09:41,42.99,43.07,42.99,42.97,142999
 09:42,42.995,43.06,43.02,42.965,148820
 09:43,43.02,43.02,42.985,42.95,166377
 09:44,42.99,43.01,43.0,42.94,229010
 09:45,43.0,43.07,43.05,42.93,313599
 09:46,43.058,43.11,43.07,43.04,179036
 09:47,43.07,43.095,43.05,43.03,121062
 09:48,43.06,43.09,43.04,43.04,124392
 09:49,43.05,43.05,42.963,42.95,189608
 09:50,42.96,42.96,42.895,42.89,161300
 09:51,42.895,42.98,42.92,42.89,204507
 09:52,42.92,42.92,42.885,42.88,130492
 09:53,42.881,42.925,42.905,42.85,150319
 09:54,42.905,42.935,42.92,42.87,106546
 09:55,42.92,42.97,42.945,42.91,117363
 09:56,42.94,43.043,43.043,42.93,84652
 09:57,43.045,43.1,43.01,43.01,224180
 09:58,43.019,43.019,42.975,42.95,140071
 09:59,42.98,43.08,43.06,42.97,165851
 10:00,43.07,43.085,43.0,42.97,183398
 10:01,43.0,43.065,43.032,42.99,101222
 10:02,43.03,43.15,43.13,43.03,207075
 10:03,43.13,43.15,43.1,43.08,154935
 10:04,43.09,43.125,43.1,43.075,133083
 10:05,43.1,43.13,43.12,43.1,59331
 10:06,43.12,43.2,43.17,43.12,115895
 10:07,43.17,43.195,43.16,43.15,92907
 10:08,43.161,43.17,43.13,43.09,117274
 10:09,43.125,43.17,43.15,43.1,100731
 10:10,43.155,43.155,43.105,43.1,80019
 10:11,43.102,43.159,43.14,43.095,95840
 10:12,43.135,43.15,43.105,43.09,99334
 10:13,43.104,43.158,43.158,43.1,111706
 10:14,43.155,43.2,43.175,43.15,160340
 10:15,43.17,43.2,43.151,43.13,190405
 10:16,43.15,43.2,43.195,43.13,119408
 10:17,43.195,43.23,43.23,43.181,222947
 10:18,43.225,43.36,43.3,43.223,210316
 10:19,43.305,43.33,43.31,43.289,113743
 10:20,43.31,43.355,43.31,43.3,134671
 10:21,43.315,43.32,43.265,43.23,139033
 10:22,43.265,43.29,43.255,43.23,105032
 10:23,43.251,43.27,43.22,43.195,65252
 10:24,43.215,43.23,43.195,43.18,97545
 10:25,43.195,43.195,43.145,43.135,103024
 10:26,43.14,43.17,43.165,43.102,154550
 10:27,43.165,43.21,43.17,43.14,141240
 10:28,43.16,43.175,43.145,43.13,97257
 10:29,43.14,43.155,43.125,43.11,249554
 10:30,43.125,43.135,43.11,43.09,224455
 10:31,43.11,43.15,43.11,43.1,143710
 10:32,43.105,43.12,43.117,43.09,142522
 10:33,43.115,43.13,43.08,43.08,257218
 10:34,43.09,43.13,43.125,43.08,179943
 10:35,43.12,43.14,43.115,43.1,126747
 10:36,43.12,43.14,43.105,43.09,156996
 10:37,43.105,43.115,43.055,43.055,416456
 10:38,43.06,43.07,43.005,42.95,293220
 10:39,43.0,43.05,43.04,42.995,143077
 10:40,43.04,43.05,43.035,43.0,113733
 10:41,43.04,43.054,43.02,43.02,83275
 10:42,43.02,43.05,42.99,42.98,163206
 10:43,42.985,42.991,42.984,42.95,112014
 10:44,42.98,43.01,42.975,42.97,97507
 10:45,42.975,43.0,42.985,42.955,193811
 10:46,42.985,43.02,42.968,42.964,68623
 10:47,42.96,42.97,42.95,42.94,99544
 10:48,42.94,42.96,42.92,42.91,163267
 10:49,42.925,42.93,42.905,42.904,66486
 10:50,42.905,42.93,42.93,42.9,103281
 10:51,42.925,42.95,42.94,42.92,160205
 10:52,42.935,42.95,42.935,42.933,27692
 10:53,42.935,42.935,42.915,42.905,68829
 10:54,42.92,42.94,42.895,42.89,143363
 10:55,42.89,42.935,42.91,42.88,153204
 10:56,42.91,42.92,42.903,42.895,52724
 10:57,42.905,42.905,42.885,42.875,131987
 10:58,42.88,42.9,42.9,42.86,101794
 10:59,42.9,42.925,42.885,42.864,73631
 11:00,42.89,42.92,42.887,42.85,125852
 11:01,42.89,42.92,42.865,42.855,52269
 11:02,42.865,42.89,42.87,42.855,80970
 11:03,42.88,42.89,42.845,42.84,84606
 11:04,42.845,42.86,42.84,42.825,161460
 11:05,42.84,42.86,42.847,42.83,68108
 11:06,42.84,42.89,42.86,42.835,140793
 11:07,42.855,42.86,42.855,42.83,124210
 11:08,42.85,42.88,42.865,42.84,65082
 11:09,42.87,42.89,42.87,42.86,56761
 11:10,42.87,42.9,42.85,42.85,81738
 11:11,42.86,42.86,42.84,42.83,79829
 11:12,42.84,42.875,42.86,42.83,92423
 11:13,42.86,42.87,42.834,42.834,102152
 11:14,42.838,42.855,42.835,42.83,101497
 11:15,42.835,42.835,42.81,42.81,271234
 11:16,42.82,42.82,42.76,42.76,256202
 11:17,42.764,42.78,42.76,42.73,289267
 11:18,42.75,42.78,42.77,42.73,71925
 11:19,42.765,42.78,42.775,42.75,182456
 11:20,42.78,42.79,42.77,42.765,147959
 11:21,42.78,42.78,42.76,42.745,91312
 11:22,42.76,42.84,42.84,42.754,154688
 11:23,42.835,42.865,42.85,42.815,104091
 11:24,42.85,42.87,42.86,42.835,64407
 11:25,42.865,42.87,42.864,42.85,98818
 11:26,42.865,42.88,42.87,42.85,170622
 11:27,42.87,42.895,42.87,42.859,78575
 11:28,42.87,42.91,42.9,42.87,96596
 11:29,42.9,42.91,42.885,42.865,133726
 11:30,42.88,42.91,42.905,42.875,89146
 11:31,42.91,42.95,42.935,42.9,276209
 11:32,42.94,42.97,42.915,42.91,113760
 11:33,42.915,42.93,42.91,42.9,113639
 11:34,42.917,42.94,42.92,42.905,67135
 11:35,42.92,42.96,42.915,42.915,240281
 11:36,42.92,42.925,42.885,42.88,66451
 11:37,42.885,42.89,42.87,42.87,45462
 11:38,42.87,42.88,42.865,42.86,91110
 11:39,42.867,42.91,42.91,42.865,52130
 11:40,42.905,42.91,42.864,42.864,69617
 11:41,42.87,42.915,42.915,42.865,967642
 11:42,42.91,42.945,42.92,42.895,91989
 11:43,42.92,42.96,42.945,42.91,45765
 11:44,42.93,42.956,42.955,42.91,66947
 11:45,42.95,42.95,42.9,42.9,44709
 11:46,42.9,42.91,42.9,42.88,77048
 11:47,42.9,42.91,42.885,42.882,39471
 11:48,42.885,42.9,42.885,42.88,48241
 11:49,42.885,42.93,42.92,42.885,67228
 11:50,42.92,42.94,42.94,42.91,48745
 11:51,42.94,42.96,42.95,42.93,48002
 11:52,42.95,42.95,42.939,42.931,54592
 11:53,42.93,42.946,42.915,42.91,75889
 11:54,42.91,42.92,42.9,42.885,130572
 11:55,42.9,42.91,42.87,42.87,87359
 11:56,42.862,42.875,42.86,42.855,56259
