Time,Open,High,Close,Low,Volume
 09:30,56.92,56.92,56.92,56.91,58143
 09:31,57.04,57.07,57.025,57.01,22999
 09:32,57.03,57.03,56.96,56.88,5663
 09:33,57.0,57.09,57.04,57.0,17454
 09:34,57.07,57.15,57.085,57.06,19445
 09:35,57.06,57.085,57.04,57.0,6104
 09:36,57.03,57.035,57.0,56.96,7045
 09:37,57.01,57.05,57.05,56.99,3195
 09:38,57.07,57.145,57.09,57.06,21574
 09:39,57.11,57.14,57.03,57.03,12746
 09:40,57.01,57.01,56.89,56.885,12534
 09:41,56.85,56.9,56.885,56.825,7565
 09:42,56.845,56.995,56.99,56.845,7114
 09:43,56.98,56.98,56.94,56.89,10432
 09:44,56.94,56.94,56.88,56.84,11026
 09:45,56.855,56.86,56.85,56.81,3640
 09:46,56.87,56.92,56.91,56.865,3081
 09:47,56.9,56.95,56.94,56.86,6555
 09:48,56.94,56.94,56.855,56.85,4937
 09:49,56.85,56.865,56.8,56.79,11016
 09:50,56.76,56.83,56.83,56.745,8544
 09:51,56.82,56.82,56.75,56.735,4878
 09:52,56.73,56.76,56.75,56.72,5729
 09:53,56.775,56.775,56.74,56.725,8038
 09:54,56.76,56.79,56.79,56.76,8493
 09:55,56.77,56.79,56.79,56.725,18121
 09:56,56.8,56.8,56.73,56.73,5380
 09:57,56.74,56.76,56.71,56.675,13163
 09:58,56.69,56.74,56.74,56.69,7767
 09:59,56.76,56.85,56.83,56.76,13481
 10:00,56.84,56.89,56.84,56.8,16801
 10:01,56.85,56.88,56.81,56.8,3781
 10:02,56.81,56.86,56.85,56.8,6362
 10:03,56.81,56.845,56.83,56.81,1518
 10:04,56.81,56.87,56.87,56.81,1851
 10:05,56.84,56.86,56.79,56.78,7770
 10:06,56.8,56.84,56.82,56.8,2407
 10:07,56.84,56.84,56.81,56.8,2676
 10:08,56.79,56.8,56.78,56.75,4605
 10:09,56.75,56.766,56.75,56.74,6054
 10:10,56.74,56.77,56.75,56.71,14869
 10:11,56.77,56.78,56.77,56.735,10086
 10:12,56.755,56.77,56.74,56.74,11182
 10:13,56.73,56.74,56.7,56.675,12366
 10:14,56.69,56.76,56.75,56.69,20429
 10:15,56.75,56.77,56.73,56.73,17126
 10:16,56.75,56.81,56.8,56.74,12839
 10:17,56.81,56.97,56.97,56.8,13312
 10:18,56.99,57.05,57.04,56.98,6303
 10:19,57.04,57.06,57.05,57.02,10722
 10:20,57.06,57.11,57.1,57.05,9166
 10:21,57.1,57.11,57.07,57.06,4216
 10:22,57.08,57.14,57.08,57.06,13329
 10:23,57.07,57.14,57.07,57.065,25538
 10:24,57.06,57.06,57.015,57.015,976
 10:25,57.0,57.0,56.88,56.88,3674
 10:26,56.86,56.93,56.93,56.86,3880
 10:27,56.93,56.96,56.925,56.92,4737
 10:28,56.92,56.92,56.87,56.87,3174
 10:29,56.81,56.85,56.83,56.81,7045
 10:30,56.835,56.835,56.8,56.8,7139
 10:31,56.79,56.84,56.815,56.79,4080
 10:32,56.78,56.79,56.79,56.76,7965
 10:33,56.8,56.86,56.86,56.8,49412
 10:34,56.84,56.85,56.83,56.8,2962
 10:35,56.85,56.9,56.88,56.84,3715
 10:36,56.88,56.91,56.91,56.85,1009
 10:37,56.91,56.93,56.91,56.855,9694
 10:38,56.91,56.95,56.92,56.91,4429
 10:39,56.9,56.97,56.935,56.9,9203
 10:40,56.935,56.97,56.97,56.9,11415
 10:41,56.96,56.97,56.96,56.95,3944
 10:42,56.97,56.98,56.935,56.935,6032
 10:43,56.935,56.935,56.89,56.89,1282
 10:44,56.89,56.89,56.87,56.86,3204
 10:45,56.86,56.91,56.91,56.86,4844
 10:46,56.9,56.91,56.9,56.89,2821
 10:47,56.89,56.9,56.87,56.87,5920
 10:48,56.89,56.92,56.89,56.89,13634
 10:49,56.89,56.89,56.81,56.81,4203
 10:50,56.82,56.83,56.81,56.81,2082
 10:51,56.81,56.83,56.83,56.81,5007
 10:52,56.83,56.85,56.84,56.83,2603
 10:53,56.83,56.83,56.77,56.77,12334
 10:54,56.755,56.77,56.77,56.75,1570
 10:55,56.77,56.79,56.79,56.77,2463
 10:56,56.815,56.815,56.78,56.76,2547
 10:57,56.764,56.78,56.74,56.74,4495
 10:58,56.75,56.78,56.78,56.75,2811
 10:59,56.79,56.82,56.82,56.785,5830
 11:00,56.81,56.81,56.76,56.76,11589
 11:01,56.75,56.75,56.69,56.68,3758
 11:02,56.7,56.72,56.71,56.69,2874
 11:03,56.71,56.71,56.69,56.69,1200
 11:04,56.69,56.725,56.71,56.69,1372
 11:05,56.72,56.735,56.73,56.71,5861
 11:06,56.72,56.735,56.7,56.7,14027
 11:07,56.68,56.71,56.71,56.68,1948
 11:08,56.71,56.74,56.74,56.7,9517
 11:09,56.75,56.8,56.8,56.74,7261
 11:10,56.8,56.81,56.75,56.75,5411
 11:11,56.745,56.77,56.77,56.735,2174
 11:12,56.79,56.83,56.81,56.78,2925
 11:13,56.8,56.8,56.78,56.78,7285
 11:14,56.76,56.76,56.74,56.74,1834
 11:15,56.74,56.75,56.72,56.7,7995
 11:16,56.72,56.78,56.78,56.72,4895
 11:17,56.77,56.78,56.73,56.73,7684
 11:18,56.72,56.74,56.74,56.72,2687
 11:19,56.75,56.78,56.78,56.74,6167
 11:20,56.785,56.82,56.8,56.78,4535
 11:21,56.81,56.81,56.76,56.76,3558
 11:22,56.78,56.83,56.83,56.78,4679
 11:23,56.83,56.83,56.83,56.8,6236
 11:24,56.81,56.84,56.84,56.81,1197
 11:25,56.83,56.835,56.82,56.82,1986
 11:26,56.82,56.84,56.84,56.82,3382
 11:27,56.84,56.85,56.83,56.83,4762
 11:28,56.82,56.83,56.83,56.81,1533
 11:29,56.82,56.85,56.84,56.8,4926
 11:30,56.83,56.84,56.83,56.815,5216
 11:31,56.83,56.835,56.82,56.8,1437
 11:32,56.82,56.82,56.74,56.74,4078
