Time,Open,High,Close,Low,Volume
 09:30,167.4,167.4,167.4,166.75,111967
 09:31,167.79,167.86,167.71,167.46,23851
 09:32,167.63,168.0,167.98,167.44,19584
 09:33,167.97,168.3,168.3,167.87,15097
 09:34,168.27,168.58,168.5,168.27,18102
 09:35,168.41,168.46,168.015,167.97,15267
 09:36,167.98,168.085,167.975,167.84,37378
 09:37,168.02,168.37,168.31,168.0,21420
 09:38,168.335,168.5,168.245,168.23,8020
 09:39,168.23,168.44,168.39,168.085,41431
 09:40,168.405,168.47,168.46,168.16,17697
 09:41,168.51,168.54,168.318,168.17,53834
 09:42,168.37,168.39,168.298,168.2,13742
 09:43,168.3,168.57,168.53,168.3,22975
 09:44,168.535,168.76,168.71,168.47,19219
 09:45,168.66,168.79,168.67,168.57,12286
 09:46,168.65,168.96,168.95,168.59,16918
 09:47,168.926,169.09,168.97,168.9,20539
 09:48,168.955,168.955,168.75,168.655,9287
 09:49,168.8,168.91,168.78,168.74,12513
 09:50,168.73,168.755,168.57,168.52,10268
 09:51,168.56,168.79,168.67,168.56,15017
 09:52,168.655,168.655,168.45,168.42,6548
 09:53,168.4,168.4,168.23,168.11,9505
 09:54,168.32,168.33,168.24,168.12,9983
 09:55,168.3,168.34,168.2,168.2,12516
 09:56,168.21,168.46,168.43,168.21,7662
 09:57,168.42,168.49,168.4,168.33,25935
 09:58,168.4,168.45,168.29,168.29,5699
 09:59,168.35,168.36,168.27,168.25,8415
 10:00,168.3,168.41,168.33,168.2,14089
 10:01,168.34,168.41,168.26,168.25,8057
 10:02,168.31,168.42,168.35,168.22,9877
 10:03,168.38,168.59,168.51,168.38,10890
 10:04,168.49,168.49,168.43,168.37,4086
 10:05,168.45,168.49,168.35,168.29,9877
 10:06,168.35,168.44,168.43,168.28,9286
 10:07,168.38,168.438,168.33,168.27,7681
 10:08,168.31,168.4,168.2,168.2,7702
 10:09,168.13,168.29,168.29,168.13,11246
 10:10,168.25,168.42,168.36,168.23,8258
 10:11,168.37,168.48,168.375,168.32,6335
 10:12,168.36,168.48,168.4,168.36,10143
 10:13,168.4,168.46,168.31,168.31,8750
 10:14,168.315,168.34,168.21,168.2,8180
 10:15,168.19,168.285,168.284,168.11,13728
 10:16,168.29,168.37,168.23,168.22,16878
 10:17,168.22,168.29,168.26,168.18,8684
 10:18,168.27,168.32,168.2,168.2,6942
 10:19,168.18,168.25,168.22,168.16,9755
 10:20,168.17,168.24,168.16,168.15,12735
 10:21,168.13,168.18,168.055,168.05,5736
 10:22,168.08,168.13,168.0,167.94,8180
 10:23,167.91,168.015,168.015,167.91,10766
 10:24,168.06,168.12,168.03,168.02,9636
 10:25,168.05,168.11,167.93,167.93,9497
 10:26,167.96,168.005,167.79,167.79,5663
 10:27,167.79,167.83,167.83,167.765,5885
 10:28,167.8,167.84,167.82,167.8,4344
 10:29,167.825,167.9,167.9,167.74,6711
 10:30,167.925,167.99,167.955,167.925,13523
 10:31,167.97,168.1,167.91,167.91,6007
 10:32,167.89,167.89,167.79,167.78,5414
 10:33,167.76,167.92,167.86,167.76,11891
 10:34,167.89,168.05,168.05,167.89,5936
 10:35,168.01,168.14,168.12,168.01,7084
 10:36,168.13,168.2,168.06,168.06,5413
 10:37,168.055,168.12,168.07,168.014,7788
 10:38,168.09,168.286,168.286,168.08,9935
 10:39,168.29,168.31,168.17,168.17,8964
 10:40,168.14,168.14,168.0,168.0,9614
 10:41,168.01,168.05,167.94,167.94,4388
 10:42,167.96,168.129,168.129,167.955,6267
 10:43,168.09,168.13,168.02,168.02,9947
